UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,No Information
UDR,No Information
UHS,Healthcare
ULTA,Consumer Cyclical
UNH,No Information
UNM,Financial Services
UNP,Industrials
UPS,Industrials
URI,Industrials
USB,No Information
V,Financial Services
VAR,No Information
VFC,Consumer Cyclical
VIAC,No Information
VLO,No Information
VMC,Basic Materials
VNO,No Information
VRSK,Industrials
VRSN,Technology
VRTX,Healthcare
VTR,No Information
VZ,No Information
WAB,Industrials
WAT,Healthcare
WBA,Healthcare
WDC,Technology
WEC,No Information
WELL,No Information
WFC,No Information
WHR,Consumer Cyclical
WLTW,No Information
WM,No Information
WMB,No Information
WMT,Consumer Defensive
WRB,No Information
WRK,Consumer Cyclical
WST,No Information
WU,No Information
WY,Real Estate
WYNN,No Information
XEL,No Information
XLNX,Technology
XOM,No Information
XRAY,No Information
XRX,No Information
XYL,Industrials
YUM,No Information
ZBH,Healthcare
ZBRA,Technology
ZION,Financial Services
ZTS,Healthcare
